Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=250, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
Namespace(exp_name='dgcnn_1024', model='dgcnn', dataset='modelnet40', batch_size=4, test_batch_size=4, epochs=2, use_sgd=True, lr=0.001, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=1024, dropout=0.5, emb_dims=1024, k=20, model_path='')
Using CPU
  epoch 1, batch 2200, loss 3.869389
  epoch 1, batch 2240, loss 3.451958
  epoch 1, batch 2280, loss 3.980430
  epoch 1, batch 2320, loss 2.699158
  epoch 1, batch 2360, loss 3.192884
  epoch 1, batch 2400, loss 3.735015
  epoch 1, batch 2440, loss 2.480055
  epoch 1, batch 2480, loss 2.511459
  epoch 1, batch 2520, loss 2.285531
  epoch 1, batch 2560, loss 2.822711
  epoch 1, batch 2600, loss 2.585690
  epoch 1, batch 2640, loss 3.124991
  epoch 1, batch 2680, loss 3.317961
  epoch 1, batch 2720, loss 3.334184
  epoch 1, batch 2760, loss 3.343370
  epoch 1, batch 2800, loss 2.323138
  epoch 1, batch 2840, loss 2.547314
  epoch 1, batch 2880, loss 3.482078
  epoch 1, batch 2920, loss 2.988008
  epoch 1, batch 2960, loss 2.796582
  epoch 1, batch 3000, loss 2.909854
  epoch 1, batch 3040, loss 3.455346
  epoch 1, batch 3080, loss 3.087735
  epoch 1, batch 3120, loss 2.369991
  epoch 1, batch 3160, loss 3.010870
  epoch 1, batch 3200, loss 2.373045
  epoch 1, batch 3240, loss 2.598505
  epoch 1, batch 3280, loss 3.053812
  epoch 1, batch 3320, loss 3.135290
  epoch 1, batch 3360, loss 2.790043
  epoch 1, batch 3400, loss 3.332473
  epoch 1, batch 3440, loss 3.336566
  epoch 1, batch 3480, loss 2.332574
  epoch 1, batch 3520, loss 2.804561
  epoch 1, batch 3560, loss 2.618157
  epoch 1, batch 3600, loss 3.577175
  epoch 1, batch 3640, loss 3.327525
  epoch 1, batch 3680, loss 3.499579
  epoch 1, batch 3720, loss 2.960011
  epoch 1, batch 3760, loss 2.603920
  epoch 1, batch 3800, loss 2.616886
  epoch 1, batch 3840, loss 2.697327
  epoch 1, batch 3880, loss 3.192282
  epoch 1, batch 3920, loss 2.933502
  epoch 1, batch 3960, loss 3.325382
  epoch 1, batch 4000, loss 2.632996
  epoch 1, batch 4040, loss 2.775358
  epoch 1, batch 4080, loss 2.989951
  epoch 1, batch 4120, loss 3.490950
  epoch 1, batch 4160, loss 2.341568
  epoch 1, batch 4200, loss 2.785333
  epoch 1, batch 4240, loss 3.567099
  epoch 1, batch 4280, loss 3.049320
  epoch 1, batch 4320, loss 3.581725
  epoch 1, batch 4360, loss 2.367900
  epoch 1, batch 4400, loss 3.427840
  epoch 1, batch 4440, loss 2.946674
  epoch 1, batch 4480, loss 3.036517
  epoch 1, batch 4520, loss 3.194453
  epoch 1, batch 4560, loss 2.975770
  epoch 1, batch 4600, loss 2.545372
